"listing_id","host_id","is_superhost","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","guests_included","min_nights","reviews","overall_rating","accuracy_rating","cleanliness_rating","checkin_rating","communication_rating","location_rating","value_rating","instant_bookable","price","price_per_person","price_per_bedroom","distance_to_center_km","host_days","host_years","room_type_entire","room_type_private","room_type_shared","has_reviews","days_since_last_review","review_period","reviews_per_month","avg_rating","rating_range","guests_vs_capacity","business_ready","demand_proxy_reviews","demand_proxy","avg_neighborhood_price","avg_neighborhood_reviews","listing_count","price_to_neighborhood_ratio","reviews_to_neighborhood_ratio","listing_name","host_name","host_since","host_response_time","host_response_rate","neighbourhood","neighborhood_group","city","postal_code","country_code","country","is_exact_location","property_type","room_type","first_review","last_review","business_travel_ready","price_tier","min_nights_category","simulation_var","predicted_demand"
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,70,7,1374,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Mitte","Mitte","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Mitte",0.0917445719583723
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,49,5,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Friedrichshain","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Friedrichshain",0.0786272756350653
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,50,5,1931,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Kreuzberg","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Kreuzberg",0.0887446411506284
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,55,6,1996,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Prenzlauer Berg","Pankow","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Prenzlauer Berg",0.11443881515626
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neukölln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Neukölln",0.0990941228946844
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,55,5,545,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Charlottenburg","Charlottenburg-Wilm.","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Charlottenburg",0.0739284792995833
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,37,4,1082,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Wedding","Mitte","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Wedding",0.124326759353942
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Schöneberg","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Schöneberg",0.119310351795536
